date,product,region,quantity,price,revenue
2024-01-01,Gadget,East,7,76.18,533.26
2024-01-01,Gizmo,West,9,79.1,711.9
2024-01-01,Widget,North,48,55.44,2661.12
2024-01-02,Gadget,West,8,58.9,471.2
2024-01-02,Gizmo,West,23,56.26,1293.98
2024-01-02,Gizmo,West,29,62.93,1824.97
2024-01-03,Widget,East,18,12.65,227.7
2024-01-03,Widget,North,31,45.6,1413.6
2024-01-03,Widget,West,30,64.56,1936.8
2024-01-04,Gadget,North,39,63.8,2488.2
2024-01-04,Widget,North,35,81.37,2847.95
2024-01-04,Gizmo,East,18,68.95,1241.1
2024-01-05,Gizmo,West,42,99.29,4170.18
2024-01-05,Widget,West,39,35.55,1386.45
2024-01-05,Widget,North,17,42.32,719.44
2024-01-06,Doohickey,South,14,44.55,623.7
2024-01-06,Gizmo,East,31,51.92,1609.52
2024-01-06,Gadget,East,24,85.24,2045.76
2024-01-07,Doohickey,East,35,31.22,1092.7
2024-01-07,Widget,East,44,79.84,3512.96
2024-01-07,Widget,West,45,46.48,2091.6
2024-01-08,Gizmo,West,34,64.17,2181.78
2024-01-08,Widget,South,3,66.93,200.79
2024-01-08,Gadget,East,37,43.56,1611.72
2024-01-09,Gizmo,East,43,56.14,2414.02
2024-01-09,Widget,North,40,47.17,1886.8
2024-01-09,Gizmo,West,26,16.22,421.72
2024-01-10,Widget,East,23,49.34,1134.82
2024-01-10,Widget,South,44,18.77,825.88
2024-01-10,Widget,South,39,46.45,1811.55
2024-01-11,Gadget,West,15,63.36,950.4
2024-01-11,Gadget,South,49,62.15,3045.35
2024-01-11,Gizmo,South,4,69.64,278.56
2024-01-12,Widget,West,29,18.57,538.53
2024-01-12,Widget,East,22,68.69,1511.18
2024-01-12,Gadget,East,25,38.09,952.25
2024-01-13,Widget,South,13,45.91,596.83
2024-01-13,Gadget,South,18,87.22,1569.96
2024-01-13,Widget,East,33,10.81,356.73
2024-01-14,Gizmo,West,16,62.96,1007.36
2024-01-14,Widget,South,45,63.88,2874.6
2024-01-14,Widget,North,42,45.7,1919.4
2024-01-15,Doohickey,West,44,31.33,1378.52
2024-01-15,Gadget,South,2,31.12,62.24
2024-01-15,Widget,South,35,89.53,3133.55
2024-01-16,Widget,North,42,49.78,2090.76
2024-01-16,Doohickey,North,34,39.78,1352.52
2024-01-16,Doohickey,East,30,50.39,1511.7
2024-01-17,Gadget,West,13,70.25,913.25
2024-01-17,Doohickey,West,13,23.12,300.56
2024-01-17,Gizmo,East,18,50.45,908.1
2024-01-18,Doohickey,West,32,62.91,2013.12
2024-01-18,Gizmo,West,32,95.37,3051.84
2024-01-18,Gadget,West,35,32.73,1145.55
2024-01-19,Gadget,West,39,42.33,1650.87
2024-01-19,Gadget,West,46,44.14,2030.44
2024-01-19,Gadget,North,29,64.5,1870.5
2024-01-20,Gadget,West,49,42.11,2063.39
2024-01-20,Gizmo,North,29,58.02,1682.58
2024-01-20,Gizmo,West,44,80.36,3535.84
2024-01-21,Gadget,East,16,73.48,1175.68
2024-01-21,Doohickey,South,44,50.17,2207.48
2024-01-21,Widget,North,47,87.78,4125.66
2024-01-22,Gadget,West,10,60.23,602.3
2024-01-22,Doohickey,East,30,58.59,1757.7
2024-01-22,Widget,South,25,13.08,327.0
2024-01-23,Gadget,North,39,98.8,3853.2
2024-01-23,Gadget,South,20,21.07,421.4
2024-01-23,Gizmo,East,5,30.8,154.0
2024-01-24,Widget,North,1,14.65,14.65
2024-01-24,Widget,South,30,67.6,2028.0
2024-01-24,Doohickey,West,49,30.22,1480.78
2024-01-25,Gizmo,North,3,26.2,78.6
2024-01-25,Gizmo,South,45,17.97,808.65
2024-01-25,Gizmo,East,14,19.3,270.2
2024-01-26,Gizmo,East,30,62.62,1878.6
2024-01-26,Widget,North,4,71.94,287.76
2024-01-26,Widget,South,18,45.76,823.68
2024-01-27,Gadget,North,37,53.19,1968.03
2024-01-27,Gadget,North,25,71.74,1793.5
2024-01-27,Gizmo,South,48,11.56,554.88
2024-01-28,Gizmo,South,1,39.08,39.08
2024-01-28,Gizmo,West,46,97.58,4488.68
2024-01-28,Gadget,South,15,62.21,933.15
2024-01-29,Doohickey,East,9,32.88,295.92
2024-01-29,Doohickey,North,15,56.96,854.4
2024-01-29,Gadget,North,49,40.84,2001.16
2024-01-30,Gadget,East,24,57.9,1389.6
2024-01-30,Gadget,South,4,21.32,85.28
2024-01-30,Gadget,East,12,21.94,263.28
2024-01-31,Gadget,East,37,22.92,848.04
2024-01-31,Gadget,West,37,94.58,3499.46
2024-01-31,Gizmo,East,43,75.96,3266.28
2024-02-01,Gizmo,North,6,24.61,147.66
2024-02-01,Gizmo,East,39,26.95,1051.05
2024-02-01,Gizmo,North,46,75.77,3485.42
2024-02-02,Gadget,North,24,24.05,577.2
2024-02-02,Doohickey,North,11,31.11,342.21
2024-02-02,Widget,South,13,96.7,1257.1
2024-02-03,Gadget,West,34,32.98,1121.32
2024-02-03,Widget,North,25,69.55,1738.75
2024-02-03,Doohickey,North,7,98.08,686.56
2024-02-04,Gizmo,South,4,43.69,174.76
2024-02-04,Doohickey,North,8,11.58,92.64
2024-02-04,Gadget,East,20,31.97,639.4
2024-02-05,Gizmo,East,29,84.78,2458.62
2024-02-05,Gadget,West,45,87.81,3951.45
2024-02-05,Gizmo,North,46,79.17,3641.82
2024-02-06,Widget,South,10,20.18,201.8
2024-02-06,Widget,East,43,81.6,3508.8
2024-02-06,Widget,South,34,92.68,3151.12
2024-02-07,Doohickey,South,26,64.05,1665.3
2024-02-07,Gadget,East,41,94.68,3881.88
2024-02-07,Doohickey,South,49,84.42,4136.58
2024-02-08,Widget,East,3,70.03,210.09
2024-02-08,Gadget,South,6,61.95,371.7
2024-02-08,Widget,East,5,41.37,206.85
2024-02-09,Doohickey,North,5,24.34,121.7
2024-02-09,Doohickey,West,47,64.45,3029.15
2024-02-09,Doohickey,East,23,38.63,888.49
2024-02-10,Widget,East,49,87.98,4311.02
2024-02-10,Gadget,West,9,99.4,894.6
2024-02-10,Gadget,East,35,77.72,2720.2
2024-02-11,Widget,East,20,18.14,362.8
2024-02-11,Gadget,South,49,35.98,1763.02
2024-02-11,Widget,West,42,19.82,832.44
2024-02-12,Gadget,North,35,68.55,2399.25
2024-02-12,Gizmo,East,18,78.87,1419.66
2024-02-12,Gizmo,West,17,93.31,1586.27
2024-02-13,Doohickey,South,24,49.44,1186.56
2024-02-13,Gizmo,North,3,91.12,273.36
2024-02-13,Gizmo,West,32,89.01,2848.32
2024-02-14,Gizmo,North,35,38.55,1349.25
2024-02-14,Widget,North,38,88.2,3351.6
2024-02-14,Gizmo,North,13,43.81,569.53
2024-02-15,Gizmo,East,47,36.72,1725.84
2024-02-15,Doohickey,East,25,68.42,1710.5
2024-02-15,Gizmo,South,9,39.55,355.95
2024-02-16,Gizmo,South,4,66.72,266.88
2024-02-16,Gadget,West,14,64.88,908.32
2024-02-16,Doohickey,South,37,60.71,2246.27
2024-02-17,Doohickey,North,34,44.24,1504.16
2024-02-17,Doohickey,North,11,59.36,652.96
2024-02-17,Doohickey,East,41,63.68,2610.88
2024-02-18,Doohickey,North,3,59.11,177.33
2024-02-18,Doohickey,West,28,50.0,1400.0
2024-02-18,Widget,North,29,11.32,328.28
2024-02-19,Gizmo,North,9,62.84,565.56
2024-02-19,Doohickey,West,3,25.16,75.48
2024-02-19,Gizmo,South,25,67.83,1695.75
2024-02-20,Gizmo,South,34,78.34,2663.56
2024-02-20,Widget,West,12,55.04,660.48
2024-02-20,Doohickey,East,42,58.81,2470.02
2024-02-21,Gadget,North,9,95.63,860.67
2024-02-21,Widget,West,15,86.25,1293.75
2024-02-21,Gadget,North,40,92.28,3691.2
2024-02-22,Gizmo,East,25,83.24,2081.0
2024-02-22,Gizmo,North,5,19.8,99.0
2024-02-22,Widget,West,11,23.41,257.51
2024-02-23,Widget,North,34,57.4,1951.6
2024-02-23,Gadget,South,24,32.15,771.6
2024-02-23,Doohickey,East,15,52.9,793.5
2024-02-24,Gadget,East,38,45.49,1728.62
2024-02-24,Widget,East,8,59.45,475.6
2024-02-24,Gadget,West,5,77.22,386.1
2024-02-25,Widget,East,48,74.39,3570.72
2024-02-25,Gadget,South,26,56.91,1479.66
2024-02-25,Widget,West,18,84.02,1512.36
2024-02-26,Widget,South,6,48.78,292.68
2024-02-26,Widget,North,37,90.7,3355.9
2024-02-26,Doohickey,North,48,16.42,788.16
2024-02-27,Gadget,North,13,95.92,1246.96
2024-02-27,Gadget,North,28,68.92,1929.76
2024-02-27,Gadget,South,5,44.21,221.05
2024-02-28,Widget,West,13,27.74,360.62
2024-02-28,Gadget,West,17,53.13,903.21
2024-02-28,Gadget,East,40,27.51,1100.4
2024-02-29,Widget,South,45,24.97,1123.65
2024-02-29,Gizmo,North,32,65.56,2097.92
2024-02-29,Widget,South,29,57.08,1655.32
2024-03-01,Gadget,East,3,70.31,210.93
2024-03-01,Widget,East,40,93.66,3746.4
2024-03-01,Gizmo,South,34,57.9,1968.6
2024-03-02,Widget,South,40,62.28,2491.2
2024-03-02,Gadget,South,27,18.07,487.89
2024-03-02,Gizmo,West,13,74.59,969.67
2024-03-03,Doohickey,North,45,45.99,2069.55
2024-03-03,Gadget,South,33,97.91,3231.03
2024-03-03,Gizmo,South,6,84.09,504.54
2024-03-04,Gizmo,South,24,57.02,1368.48
2024-03-04,Doohickey,East,19,21.09,400.71
2024-03-04,Widget,East,16,87.35,1397.6
2024-03-05,Widget,West,40,81.98,3279.2
2024-03-05,Gadget,North,28,26.61,745.08
2024-03-05,Doohickey,West,33,36.58,1207.14
2024-03-06,Widget,North,48,81.41,3907.68
2024-03-06,Doohickey,East,41,26.67,1093.47
2024-03-06,Widget,East,13,92.6,1203.8
2024-03-07,Gizmo,East,43,48.21,2073.03
2024-03-07,Widget,West,45,17.83,802.35
2024-03-07,Doohickey,South,25,83.42,2085.5
2024-03-08,Gizmo,South,42,43.62,1832.04
2024-03-08,Gizmo,East,36,57.38,2065.68
2024-03-08,Gizmo,South,27,20.11,542.97
2024-03-09,Doohickey,South,38,10.23,388.74
2024-03-09,Gadget,West,7,67.42,471.94
2024-03-09,Gadget,North,5,56.37,281.85
2024-03-10,Gadget,East,43,63.42,2727.06
2024-03-10,Doohickey,East,45,81.44,3664.8
2024-03-10,Gizmo,West,31,68.19,2113.89
2024-03-11,Gadget,West,23,25.73,591.79
2024-03-11,Doohickey,South,42,42.47,1783.74
2024-03-11,Gadget,East,10,91.53,915.3
2024-03-12,Widget,North,32,79.3,2537.6
2024-03-12,Gadget,West,43,60.1,2584.3
2024-03-12,Gadget,North,30,33.01,990.3
2024-03-13,Gizmo,North,39,37.19,1450.41
2024-03-13,Doohickey,East,31,75.88,2352.28
2024-03-13,Gizmo,East,18,86.61,1558.98
2024-03-14,Gizmo,West,36,70.43,2535.48
2024-03-14,Gizmo,East,2,82.86,165.72
2024-03-14,Gizmo,East,14,79.0,1106.0
2024-03-15,Gizmo,East,13,23.47,305.11
2024-03-15,Gadget,North,29,48.16,1396.64
2024-03-15,Gizmo,West,12,23.77,285.24
2024-03-16,Gizmo,South,39,31.17,1215.63
2024-03-16,Doohickey,North,2,88.23,176.46
2024-03-16,Widget,East,32,52.56,1681.92
2024-03-17,Gadget,North,13,58.18,756.34
2024-03-17,Gadget,East,46,26.06,1198.76
2024-03-17,Gadget,East,27,38.1,1028.7
2024-03-18,Gizmo,North,49,30.72,1505.28
2024-03-18,Gizmo,West,41,28.56,1170.96
2024-03-18,Gizmo,East,17,67.42,1146.14
2024-03-19,Doohickey,West,40,33.12,1324.8
2024-03-19,Widget,South,31,66.88,2073.28
2024-03-19,Gizmo,East,34,15.26,518.84
2024-03-20,Widget,West,24,22.76,546.24
2024-03-20,Doohickey,West,45,34.71,1561.95
2024-03-20,Gadget,South,35,63.73,2230.55
2024-03-21,Gizmo,West,48,70.83,3399.84
2024-03-21,Widget,West,6,49.84,299.04
2024-03-21,Widget,South,19,50.12,952.28
2024-03-22,Gizmo,East,30,75.21,2256.3
2024-03-22,Gadget,West,7,11.42,79.94
2024-03-22,Gadget,West,10,40.7,407.0
2024-03-23,Gadget,West,41,83.68,3430.88
2024-03-23,Doohickey,North,32,64.29,2057.28
