id,value_a,value_b,category,flag
1,52,53.43618289568462,C,True
2,93,32.36959844637266,B,False
3,15,53.24083969394795,A,True
4,72,46.149177195836835,C,False
5,61,43.23077999694041,A,True
6,21,56.11676288840868,B,False
7,83,60.30999522495951,B,True
8,87,59.31280119116199,C,False
9,75,41.607824767773614,B,True
10,75,46.907876241487855,A,False
11,88,53.31263431403564,C,False
12,24,59.75545127122359,A,True
13,3,45.2082576215471,A,True
14,22,48.14341023336183,B,False
15,53,38.93665025993972,B,True
16,2,38.037933759193294,B,False
17,88,58.125258223941984,B,True
18,30,63.56240028570823,B,False
19,38,49.27989878419666,C,False
20,2,60.03532897892024,A,False
21,64,53.61636025047634,A,False
22,60,43.54880245394876,A,False
23,21,53.61395605508414,A,False
24,33,65.38036566465969,B,True
25,76,49.64173960890049,A,True
26,58,65.64643655814007,C,True
27,22,23.802548959102555,C,False
28,89,58.21902504375224,A,False
29,49,50.870470682381715,A,False
30,91,47.009926495341325,C,False
31,59,50.91760776535502,C,True
32,42,30.124310853991073,B,True
33,92,47.80328112162488,C,False
34,60,53.57112571511746,B,True
35,80,64.77894044741517,B,True
36,15,44.81729781726352,B,False
37,62,41.91506397106812,B,True
38,62,44.982429564154636,B,False
39,47,59.15402117702074,A,True
40,62,53.287511096596845,C,False
41,51,44.70239796232961,B,False
42,55,55.13267433113356,C,False
43,64,50.9707754934804,C,False
44,3,59.68644990532889,B,True
45,51,42.979469061226474,A,False
46,7,46.723378534022316,B,False
47,21,46.078918468678424,A,False
48,73,35.364850518678814,C,True
49,39,52.96120277064576,A,False
50,18,52.610552721798896,A,True
51,4,50.05113456642461,A,False
52,89,47.65412866624853,C,True
53,60,35.84629257949586,C,True
54,14,45.79354677234641,A,False
55,9,46.572854834732304,A,True
56,90,41.97722730778381,B,False
57,53,48.387142883339905,A,False
58,2,54.040508568145384,B,False
59,84,68.8618590121053,A,True
60,92,51.74577812831839,B,True
61,60,52.57550390722764,C,False
62,71,49.25554084233833,A,False
63,44,30.812287847009586,A,True
64,8,49.73486124550783,A,False
65,47,50.60230209941027,A,False
66,35,74.63242112485287,B,False
67,78,48.076390352188774,A,True
68,81,53.015473423336125,C,True
69,36,49.65288230294757,C,True
70,50,38.31321962380468,A,False
71,4,61.42822814515021,C,False
72,2,57.519330326867745,A,False
73,6,57.910319470430466,A,True
74,54,40.906125452052606,C,False
75,4,64.02794310936099,A,False
76,54,35.98148937207719,C,False
77,93,55.868570938002705,B,False
78,63,71.90455625809979,A,True
79,18,40.09463674869312,B,True
80,90,44.33702270397228,C,False
81,44,50.99651365087641,B,True
82,34,44.96524345883801,B,True
83,74,34.493365689338674,C,False
84,62,50.68562974806027,B,False
85,14,39.37696286273895,B,True
86,95,54.73592430635182,C,False
87,48,40.80575765766197,B,True
88,15,65.4993440501754,C,False
89,72,42.16746707663763,B,True
90,78,46.77938483794324,C,False
91,87,58.135172173696695,C,True
92,62,37.69135683566045,B,True
93,40,52.27459934604129,B,True
94,85,63.07142754282428,B,False
95,80,33.92516765438772,A,True
96,82,51.84633858532304,A,True
97,53,52.598827942484235,A,False
98,24,57.8182287177731,C,False
99,26,37.63049289121918,B,True
100,89,36.795433869157236,C,True
